id_pattern	pattern	size_group_support	size_context_support	nb_outcomes	reliability_default	reliability_ref	reliability_context_all_individuals	reliability_context	quality	confidence_interval	pattern_p_value	state_intra_agreement
0	"('old * ', ""['1 Action', '2 Adventure', '6 Crime'] "")"	52	6	17	0.07018319355861413	-0.05806539235337471	0.14582015998502684	-0.28821535567721357	0.23014996332383886	[-0.26938198048753126, 0.13650917820193098]	0.0048797487417012123	CONFLICTUAL
1	"('middle-age M ', ""['12 Musical', '2 Adventure'] "")"	228	5	115	0.07018319355861413	0.05358517097197646	0.10490592200399751	0.2125014430703519	0.15891627209837544	[-0.093083247714584427, 0.20152606899029102]	0.0056444879542267845	CONSENSUAL
2	"('old * ', ""['12 Musical', '4 Children'] "")"	52	17	84	0.07018319355861413	-0.05806539235337471	0.028927361409996966	-0.20733457241278108	0.14926918005940637	[-0.18064412227605997, 0.058692225892848504]	0.0016308336516593083	CONFLICTUAL
3	"('middle-age * ', ""['1 Action', '2 Adventure', '6 Crime'] "")"	347	7	202	0.07018319355861413	0.05260240427944185	0.14897719767937145	0.19409172277740183	0.14148931849795998	[-0.056415714948724105, 0.16462045242435208]	0.0011035159252978932	CONSENSUAL
4	"('old * ', ""['3 Animation'] "")"	52	19	87	0.07018319355861413	-0.05806539235337471	0.045089689130060506	-0.181427144690943	0.1233617523375683	[-0.17370180915581135, 0.052376950432067138]	0.0059256655693614409	CONFLICTUAL
5	"('* F ', ""['2 Adventure', '9 Fantasy'] "")"	273	9	133	0.07018319355861413	0.04160738269294395	0.1473039969180181	0.16464578523283124	0.12303840253988729	[-0.05546842127729712, 0.1386522319404343]	0.0010921022864827101	CONSENSUAL
6	"('middle-age * ', ""['2 Adventure', '3 Animation'] "")"	347	6	82	0.07018319355861413	0.05260240427944185	0.11918775261083103	0.17501417521273555	0.1224117709332937	[-0.065065994297663021, 0.17377344997059785]	0.0092522207424876601	CONSENSUAL
7	"('* * ', ""['1 Action', '4 Children'] "")"	943	9	206	0.07018319355861413	0.07018319355861413	0.1906558304488375	0.1906558304488375	0.12047263689022336	[-0.021165189177068111, 0.16762500242066392]	0.0013539665014501434	CONSENSUAL
8	"('old * ', ""['11 Horror'] "")"	52	34	165	0.07018319355861413	-0.05806539235337471	0.053828282206618616	-0.1638830222259431	0.10581762987256838	[-0.14311245941114148, 0.04989358338640806]	0.0013017139768794189	CONFLICTUAL
9	"('* F ', ""['4 Children', '9 Fantasy'] "")"	273	14	229	0.07018319355861413	0.04160738269294395	0.11966967925295036	0.12487400131256365	0.0832666186196197	[-0.036076837048380606, 0.11927177811867851]	0.0057517174716343877	CONSENSUAL
10	"('middle-age M ', ""['1 Action', '6 Crime'] "")"	228	19	453	0.07018319355861413	0.05358517097197646	0.10953120433222874	0.13016438637328154	0.07657921540130508	[-0.021360469167395424, 0.12886165688537787]	0.0087799746344801033	CONSENSUAL
11	"('middle-age * ', ""['9 Fantasy'] "")"	347	20	435	0.07018319355861413	0.05260240427944185	0.11014271672728893	0.1191291726825362	0.06652676840309435	[-0.011928960114181431, 0.11817309662031328]	0.0089571025202430654	CONSENSUAL
12	"('* * ', ""['7 Documentary'] "")"	943	38	746	0.07018319355861413	0.07018319355861413	0.004734395432598015	0.004734395432598015	0.06544879812601612	[0.025389558119278677, 0.11639267234726114]	0.00018031347638091237	CONFLICTUAL
13	"('middle-age * ', ""['11 Horror'] "")"	347	75	1458	0.07018319355861413	0.05260240427944185	0.08318355002313815	0.09558325298790904	0.04298084870846719	[0.019878795550705597, 0.085591154931573765]	0.00078173891448529709	CONSENSUAL
14	"('middle-age * ', ""['4 Children'] "")"	347	113	2319	0.07018319355861413	0.05260240427944185	0.0827032455583504	0.0859936567246905	0.033391252445248654	[0.02634236124039524, 0.079032918062780788]	0.0011283692958143909	CONSENSUAL
15	"('* * ', ""['14 Romance', '8 Drama'] "")"	943	97	8015	0.07018319355861413	0.07018319355861413	0.03977029375875296	0.03977029375875296	0.03041289979986117	[0.042535095447480353, 0.098364164363312301]	0.0046409550577071537	CONFLICTUAL
16	"('* M ', ""['8 Drama'] "")"	670	602	28812	0.07018319355861413	0.07442652331228683	0.049483263758200224	0.0513914043732594	0.023035118939027432	[0.0556577620007281, 0.084290244083342292]	1.5770781726786863e-09	CONFLICTUAL
17	"('young * ', ""['8 Drama'] "")"	508	595	22336	0.07018319355861413	0.07357222338318237	0.05032284670164766	0.05132354731219324	0.022248676070989126	[0.06111398661059435, 0.083646191775250456]	1.191320831038976e-08	CONFLICTUAL
18	"('middle-age * ', ""['16 Thriller'] "")"	347	207	6756	0.07018319355861413	0.05260240427944185	0.08105035107267533	0.07392447806426772	0.021322073784825868	[0.033974247558349768, 0.071316181527094291]	0.0033283089176632252	CONSENSUAL
19	"('young * ', ""['1 Action'] "")"	508	229	16265	0.07018319355861413	0.07357222338318237	0.08504504077920227	0.09449175889312944	0.020919535509947074	[0.054243794660868927, 0.093010594439418837]	0.0055600366654564581	CONSENSUAL
20	"('middle-age * ', ""['8 Drama'] "")"	347	530	14150	0.07018319355861413	0.05260240427944185	0.049765196557565505	0.032382198823701525	0.020220205455740325	[0.042841281515024976, 0.06937714781426788]	9.6854595963045957e-08	CONFLICTUAL
21	"('* F ', ""['16 Thriller'] "")"	273	220	5071	0.07018319355861413	0.04160738269294395	0.08197588348165619	0.061357592163100216	0.019750209470156266	[0.023607565487035798, 0.060942223604965776]	0.004706333269430818	CONSENSUAL
22	"('* F ', ""['8 Drama'] "")"	273	545	10902	0.07018319355861413	0.04160738269294395	0.050155253904726416	0.028462072692879148	0.013145310000064803	[0.03198482034424166, 0.060942223604965776]	0.00043344467179874267	CONFLICTUAL
23	"('* * ', ""['5 Comedy'] "")"	943	475	29802	0.07018319355861413	0.07018319355861413	0.08148882053401163	0.08148882053401163	0.011305626975397498	[0.044772003027791274, 0.081060400289274193]	0.0074138575645958937	CONSENSUAL
